Date,Cases,Death
2014-03-22,49.0,29.0
2014-03-23,,
2014-03-24,86.0,59.0
2014-03-25,86.0,60.0
2014-03-26,86.0,62.0
2014-03-27,111.0,72.0
2014-03-28,120.0,76.0
2014-03-29,114.0,71.0
2014-03-30,,
2014-03-31,130.0,82.0
2014-04-01,135.0,88.0
2014-04-02,,
2014-04-03,,
2014-04-04,,
2014-04-05,,
2014-04-06,,
2014-04-07,172.0,105.0
2014-04-08,,
2014-04-09,179.0,111.0
2014-04-10,183.0,113.0
2014-04-11,184.0,114.0
2014-04-12,,
2014-04-13,,
2014-04-14,194.0,121.0
2014-04-15,,
2014-04-16,224.0,135.0
2014-04-17,230.0,142.0
2014-04-18,,
2014-04-19,,
2014-04-20,235.0,149.0
2014-04-21,242.0,147.0
2014-04-22,,
2014-04-23,252.0,152.0
2014-04-24,253.0,152.0
2014-04-25,,
2014-04-26,,
2014-04-27,,
2014-04-28,,
2014-04-29,,
2014-04-30,233.0,155.0
2014-05-01,237.0,158.0
2014-05-02,239.0,160.0
2014-05-03,244.0,166.0
2014-05-04,,
2014-05-05,,
2014-05-06,,
2014-05-07,249.0,169.0
2014-05-08,,
2014-05-09,,
2014-05-10,,
2014-05-11,,
2014-05-12,,
2014-05-13,,
2014-05-14,,
2014-05-15,,
2014-05-16,,
2014-05-17,,
2014-05-18,,
2014-05-19,,
2014-05-20,,
2014-05-21,,
2014-05-22,,
2014-05-23,,
2014-05-24,,
2014-05-25,,
2014-05-26,,
2014-05-27,309.0,209.0
2014-05-28,319.0,209.0
2014-05-29,354.0,211.0
2014-05-30,,
2014-05-31,,
2014-06-01,383.0,211.0
2014-06-02,,
2014-06-03,436.0,233.0
2014-06-04,,
2014-06-05,445.0,244.0
2014-06-06,453.0,245.0
2014-06-07,,
2014-06-08,,
2014-06-09,,
2014-06-10,474.0,252.0
2014-06-11,,
2014-06-12,,
2014-06-13,,
2014-06-14,,
2014-06-15,522.0,333.0
2014-06-16,526.0,334.0
2014-06-17,528.0,337.0
2014-06-18,,
2014-06-19,,
2014-06-20,581.0,328.0
2014-06-21,,
2014-06-22,599.0,338.0
2014-06-23,,
2014-06-24,,
2014-06-25,,
2014-06-26,,
2014-06-27,,
2014-06-28,,
2014-06-29,,
2014-06-30,759.0,467.0
2014-07-01,,
2014-07-02,779.0,481.0
2014-07-03,,
2014-07-04,,
2014-07-05,,
2014-07-06,844.0,518.0
2014-07-07,,
2014-07-08,888.0,539.0
2014-07-09,,
2014-07-10,,
2014-07-11,,
2014-07-12,964.0,603.0
2014-07-13,,
2014-07-14,982.0,613.0
2014-07-15,,
2014-07-16,,
2014-07-17,1048.0,632.0
2014-07-18,,
2014-07-19,,
2014-07-20,1093.0,660.0
2014-07-21,,
2014-07-22,,
2014-07-23,1201.0,672.0
2014-07-24,,
2014-07-25,,
2014-07-26,,
2014-07-27,1323.0,729.0
2014-07-28,,
2014-07-29,,
2014-07-30,1440.0,826.0
2014-07-31,,
2014-08-01,1603.0,887.0
2014-08-02,,
2014-08-03,,
2014-08-04,1711.0,932.0
2014-08-05,,
2014-08-06,1779.0,961.0
2014-08-07,,
2014-08-08,,
2014-08-09,1848.0,1013.0
2014-08-10,,
2014-08-11,1975.0,1069.0
2014-08-12,,
2014-08-13,2127.0,1145.0
2014-08-14,,
2014-08-15,,
2014-08-16,2240.0,1229.0
2014-08-17,,
2014-08-18,2473.0,1350.0
2014-08-19,,
2014-08-20,2615.0,1427.0
2014-08-21,,
2014-08-22,,
2014-08-23,,
2014-08-24,,
2014-08-25,3017.0,1553.0
2014-08-26,,
2014-08-27,,
2014-08-28,,
2014-08-29,,
2014-08-30,,
2014-08-31,3707.0,1808.0
2014-09-01,,
2014-09-02,,
2014-09-03,4001.0,2089.0
2014-09-04,,
2014-09-05,,
2014-09-06,,
2014-09-07,4366.0,2177.0
2014-09-08,,
2014-09-09,,
2014-09-10,4846.0,2375.0
2014-09-11,,
2014-09-12,,
2014-09-13,,
2014-09-14,5339.0,2586.0
2014-09-15,,
2014-09-16,,
2014-09-17,5762.0,2746.0
2014-09-18,,
2014-09-19,,
2014-09-20,,
2014-09-21,6263.0,2900.0
2014-09-22,,
2014-09-23,6574.0,3043.0
2014-09-24,,
2014-09-25,6808.0,3159.0
2014-09-26,,
2014-09-27,,
2014-09-28,7192.0,3286.0
2014-09-29,,
2014-09-30,,
2014-10-01,7493.0,3439.0
2014-10-02,,
2014-10-03,,
2014-10-04,,
2014-10-05,,
2014-10-06,,
2014-10-07,,
2014-10-08,8011.0,3857.0
2014-10-09,,
2014-10-10,,
2014-10-11,,
2014-10-12,,
2014-10-13,,
2014-10-14,,
2014-10-15,,
2014-10-16,,
2014-10-17,9668.0,4802.0
2014-10-18,,
2014-10-19,9911.0,4890.0
2014-10-20,,
2014-10-21,,
2014-10-22,,
2014-10-23,,
2014-10-24,11868.0,5026.0
2014-10-25,,
2014-10-26,,
2014-10-27,,
2014-10-28,,
2014-10-29,,
2014-10-30,12647.0,5087.0
2014-10-31,,
2014-11-01,,
2014-11-02,13014.0,5191.0
2014-11-03,,
2014-11-04,13200.0,5275.0
2014-11-05,,
2014-11-06,,
2014-11-07,,
2014-11-08,,
2014-11-09,14068.0,5496.0
2014-11-10,,
2014-11-11,14383.0,5492.0
2014-11-12,14413.0,5498.0
