Date,Cases,Death
2014-03-22,49.0,29.0
2014-03-23,67.5,44.0
2014-03-24,86.0,59.0
2014-03-25,86.0,60.0
2014-03-26,86.0,62.0
2014-03-27,111.0,72.0
2014-03-28,120.0,76.0
2014-03-29,114.0,71.0
2014-03-30,122.0,76.5
2014-03-31,130.0,82.0
2014-04-01,135.0,88.0
2014-04-02,141.16666666666666,90.83333333333333
2014-04-03,147.33333333333334,93.66666666666667
2014-04-04,153.5,96.5
2014-04-05,159.66666666666666,99.33333333333333
2014-04-06,165.83333333333334,102.16666666666667
2014-04-07,172.0,105.0
2014-04-08,175.5,108.0
2014-04-09,179.0,111.0
2014-04-10,183.0,113.0
2014-04-11,184.0,114.0
2014-04-12,187.33333333333334,116.33333333333333
2014-04-13,190.66666666666666,118.66666666666667
2014-04-14,194.0,121.0
2014-04-15,209.0,128.0
2014-04-16,224.0,135.0
2014-04-17,230.0,142.0
2014-04-18,231.66666666666666,144.33333333333334
2014-04-19,233.33333333333334,146.66666666666666
2014-04-20,235.0,149.0
2014-04-21,242.0,147.0
2014-04-22,247.0,149.5
2014-04-23,252.0,152.0
2014-04-24,253.0,152.0
2014-04-25,249.66666666666666,152.5
2014-04-26,246.33333333333334,153.0
2014-04-27,243.0,153.5
2014-04-28,239.66666666666666,154.0
2014-04-29,236.33333333333334,154.5
2014-04-30,233.0,155.0
2014-05-01,237.0,158.0
2014-05-02,239.0,160.0
2014-05-03,244.0,166.0
2014-05-04,245.25,166.75
2014-05-05,246.5,167.5
2014-05-06,247.75,168.25
2014-05-07,249.0,169.0
2014-05-08,252.0,171.0
2014-05-09,255.0,173.0
2014-05-10,258.0,175.0
2014-05-11,261.0,177.0
2014-05-12,264.0,179.0
2014-05-13,267.0,181.0
2014-05-14,270.0,183.0
2014-05-15,273.0,185.0
2014-05-16,276.0,187.0
2014-05-17,279.0,189.0
2014-05-18,282.0,191.0
2014-05-19,285.0,193.0
2014-05-20,288.0,195.0
2014-05-21,291.0,197.0
2014-05-22,294.0,199.0
2014-05-23,297.0,201.0
2014-05-24,300.0,203.0
2014-05-25,303.0,205.0
2014-05-26,306.0,207.0
2014-05-27,309.0,209.0
2014-05-28,319.0,209.0
2014-05-29,354.0,211.0
2014-05-30,363.6666666666667,211.0
2014-05-31,373.3333333333333,211.0
2014-06-01,383.0,211.0
2014-06-02,409.5,222.0
2014-06-03,436.0,233.0
2014-06-04,440.5,238.5
2014-06-05,445.0,244.0
2014-06-06,453.0,245.0
2014-06-07,458.25,246.75
2014-06-08,463.5,248.5
2014-06-09,468.75,250.25
2014-06-10,474.0,252.0
2014-06-11,483.6,268.2
2014-06-12,493.2,284.4
2014-06-13,502.8,300.6
2014-06-14,512.4,316.8
2014-06-15,522.0,333.0
2014-06-16,526.0,334.0
2014-06-17,528.0,337.0
2014-06-18,545.6666666666666,334.0
2014-06-19,563.3333333333334,331.0
2014-06-20,581.0,328.0
2014-06-21,590.0,333.0
2014-06-22,599.0,338.0
2014-06-23,619.0,354.125
2014-06-24,639.0,370.25
2014-06-25,659.0,386.375
2014-06-26,679.0,402.5
2014-06-27,699.0,418.625
2014-06-28,719.0,434.75
2014-06-29,739.0,450.875
2014-06-30,759.0,467.0
2014-07-01,769.0,474.0
2014-07-02,779.0,481.0
2014-07-03,795.25,490.25
2014-07-04,811.5,499.5
2014-07-05,827.75,508.75
2014-07-06,844.0,518.0
2014-07-07,866.0,528.5
2014-07-08,888.0,539.0
2014-07-09,907.0,555.0
2014-07-10,926.0,571.0
2014-07-11,945.0,587.0
2014-07-12,964.0,603.0
2014-07-13,973.0,608.0
2014-07-14,982.0,613.0
2014-07-15,1004.0,619.3333333333334
2014-07-16,1026.0,625.6666666666666
2014-07-17,1048.0,632.0
2014-07-18,1063.0,641.3333333333334
2014-07-19,1078.0,650.6666666666666
2014-07-20,1093.0,660.0
2014-07-21,1129.0,664.0
2014-07-22,1165.0,668.0
2014-07-23,1201.0,672.0
2014-07-24,1231.5,686.25
2014-07-25,1262.0,700.5
2014-07-26,1292.5,714.75
2014-07-27,1323.0,729.0
2014-07-28,1362.0,761.3333333333334
2014-07-29,1401.0,793.6666666666666
2014-07-30,1440.0,826.0
2014-07-31,1521.5,856.5
2014-08-01,1603.0,887.0
2014-08-02,1639.0,902.0
2014-08-03,1675.0,917.0
2014-08-04,1711.0,932.0
